PersonID,TaskNum,Block,Scen,altern,Option1,Option2,Option3,Choice,Scale,TRT,TSugar,price,Gene,FullFlav,cset,opt
1211,7,2,1,1,1,0,0,0,6,1,14,3.99,0,0,3,0
1211,7,2,1,2,0,1,0,1,6,1,29,2.99,1,1,3,0
1211,7,2,1,3,0,0,1,0,6,1,0,0,0,0,3,1
1211,8,2,2,1,1,0,0,1,7,1,29,2.99,0,0,3,0
1211,8,2,2,2,0,1,0,0,7,1,14,1.99,1,1,3,0
1211,8,2,2,3,0,0,1,0,7,1,0,0,0,0,3,1
1211,9,2,3,1,1,0,0,0,9,1,14,1.99,1,0,3,0
1211,9,2,3,2,0,1,0,1,9,1,29,3.99,0,1,3,0
1211,9,2,3,3,0,0,1,0,9,1,0,0,0,0,3,1
1211,10,2,4,1,1,0,0,1,9,1,14,1.99,1,1,3,0
1211,10,2,4,2,0,1,0,0,9,1,29,3.99,0,0,3,0
1211,10,2,4,3,0,0,1,0,9,1,0,0,0,0,3,1
1211,11,2,5,1,1,0,0,0,8,1,14,1.99,0,0,3,0
1211,11,2,5,2,0,1,0,1,8,1,29,3.99,1,1,3,0
1211,11,2,5,3,0,0,1,0,8,1,0,0,0,0,3,1
1211,12,2,6,1,1,0,0,1,7,1,29,3.99,1,0,3,0
1211,12,2,6,2,0,1,0,0,7,1,14,1.99,0,1,3,0
1211,12,2,6,3,0,0,1,0,7,1,0,0,0,0,3,1
1212,13,3,1,1,1,0,0,0,10,1,29,1.99,1,1,3,0
1212,13,3,1,2,0,1,0,1,10,1,14,3.99,0,0,3,0
1212,13,3,1,3,0,0,1,0,10,1,0,0,0,0,3,1
1212,14,3,2,1,1,0,0,0,10,1,29,3.99,1,1,3,0
1212,14,3,2,2,0,1,0,1,10,1,14,2.99,0,0,3,0
1212,14,3,2,3,0,0,1,0,10,1,0,0,0,0,3,1
1212,15,3,3,1,1,0,0,1,10,1,14,3.99,0,1,3,0
1212,15,3,3,2,0,1,0,0,10,1,29,2.99,1,0,3,0
1212,15,3,3,3,0,0,1,0,10,1,0,0,0,0,3,1
1212,16,3,4,1,1,0,0,0,10,1,29,1.99,0,0,3,0
1212,16,3,4,2,0,1,0,1,10,1,14,3.99,1,1,3,0
1212,16,3,4,3,0,0,1,0,10,1,0,0,0,0,3,1
1212,17,3,5,1,1,0,0,1,10,1,14,2.99,0,1,3,0
1212,17,3,5,2,0,1,0,0,10,1,29,1.99,1,0,3,0
1212,17,3,5,3,0,0,1,0,10,1,0,0,0,0,3,1
1212,18,3,6,1,1,0,0,1,10,1,14,3.99,1,0,3,0
1212,18,3,6,2,0,1,0,0,10,1,29,1.99,0,1,3,0
1212,18,3,6,3,0,0,1,0,10,1,0,0,0,0,3,1
1213,7,2,1,1,1,0,0,1,8,1,14,3.99,0,0,3,0
1213,7,2,1,2,0,1,0,0,8,1,29,2.99,1,1,3,0
1213,7,2,1,3,0,0,1,0,8,1,0,0,0,0,3,1
1213,8,2,2,1,1,0,0,1,7,1,29,2.99,0,0,3,0
1213,8,2,2,2,0,1,0,0,7,1,14,1.99,1,1,3,0
1213,8,2,2,3,0,0,1,0,7,1,0,0,0,0,3,1
1213,9,2,3,1,1,0,0,1,9,1,14,1.99,1,0,3,0
1213,9,2,3,2,0,1,0,0,9,1,29,3.99,0,1,3,0
1213,9,2,3,3,0,0,1,0,9,1,0,0,0,0,3,1
1213,10,2,4,1,1,0,0,1,8,1,14,1.99,1,1,3,0
1213,10,2,4,2,0,1,0,0,8,1,29,3.99,0,0,3,0
1213,10,2,4,3,0,0,1,0,8,1,0,0,0,0,3,1
1213,11,2,5,1,1,0,0,1,9,1,14,1.99,0,0,3,0
1213,11,2,5,2,0,1,0,0,9,1,29,3.99,1,1,3,0
1213,11,2,5,3,0,0,1,0,9,1,0,0,0,0,3,1
1213,12,2,6,1,1,0,0,1,9,1,29,3.99,1,0,3,0
1213,12,2,6,2,0,1,0,0,9,1,14,1.99,0,1,3,0
1213,12,2,6,3,0,0,1,0,9,1,0,0,0,0,3,1
1214,13,3,1,1,1,0,0,1,9,1,29,1.99,1,1,3,0
1214,13,3,1,2,0,1,0,0,9,1,14,3.99,0,0,3,0
1214,13,3,1,3,0,0,1,0,9,1,0,0,0,0,3,1
1214,14,3,2,1,1,0,0,1,8,1,29,3.99,1,1,3,0
1214,14,3,2,2,0,1,0,0,8,1,14,2.99,0,0,3,0
1214,14,3,2,3,0,0,1,0,8,1,0,0,0,0,3,1
1214,15,3,3,1,1,0,0,1,8,1,14,3.99,0,1,3,0
1214,15,3,3,2,0,1,0,0,8,1,29,2.99,1,0,3,0
